dataset_id,run_id,threads,rep,n_files,bytes_processed,wall_s,throughput_mb_s,parallel_efficiency
D2,D2_strong_20260719_202552,1,0,23785,16106384664,262.598617599986,58.49324541233657,0.8207255223723421
D2,D2_strong_20260719_202552,1,1,23785,16106384664,195.13916829996742,78.71431203706156,1.1044496575526268
D2,D2_strong_20260719_202552,1,2,23785,16106384664,200.51768769999035,76.60294490926871,1.0748248200750314
D2,D2_strong_20260719_202552,2,0,23785,16106384664,203.01183600001968,75.661821925569,0.5308099070735525
D2,D2_strong_20260719_202552,2,1,23785,16106384664,194.17750609997893,79.10414389763334,0.5549597168403092
D2,D2_strong_20260719_202552,2,2,23785,16106384664,207.24765460001072,74.11541237396234,0.5199609810300654
D2,D2_strong_20260719_202552,4,0,23785,16106384664,192.91022670001257,79.62380039137297,0.27930269858004036
D2,D2_strong_20260719_202552,4,1,23785,16106384664,206.1298716000165,74.51731893581153,0.26139028993115887
D2,D2_strong_20260719_202552,4,2,23785,16106384664,180.7378515000455,84.98632276932008,0.2981132422113986
D2,D2_strong_20260719_202552,8,0,23785,16106384664,191.4931083000265,80.21304537054289,0.14068481988548254
D2,D2_strong_20260719_202552,8,1,23785,16106384664,205.32860429998254,74.80811276433352,0.13120516521478504
D2,D2_strong_20260719_202552,8,2,23785,16106384664,193.6499900999479,79.31962907040935,0.13911786639697682
D2,D2_strong_20260719_202552,16,0,23785,16106384664,192.07742550002877,79.96902990671336,0.07012842186000769
D2,D2_strong_20260719_202552,16,1,23785,16106384664,541.7785786000313,28.35151848178927,0.02486271561355792
D2,D2_strong_20260719_202552,16,2,23785,16106384664,184.27382669999497,83.35554570765707,0.07309820915142792
