path,kind,size_bytes,size_mb,size_gb,ext,relpath
data\user_data\D3\tabular\tabular_000196.csv,csv,13420087,12.798392295837402,0.012498429976403713,.csv,tabular\tabular_000196.csv
data\user_data\D3\tabular\tabular_000197.csv,csv,1426196,1.3601264953613281,0.001328248530626297,.csv,tabular\tabular_000197.csv
data\user_data\D3\tabular\tabular_000198.csv,csv,19235484,18.34438705444336,0.017914440482854843,.csv,tabular\tabular_000198.csv
data\user_data\D3\tabular\tabular_000199.csv,csv,1843839,1.7584218978881836,0.0017172088846564293,.csv,tabular\tabular_000199.csv
data\user_data\D3\tabular\tabular_000200.csv,csv,5711775,5.447173118591309,0.005319504998624325,.csv,tabular\tabular_000200.csv
data\user_data\D3\tabular\tabular_000201.csv,csv,5188605,4.948239326477051,0.004832264967262745,.csv,tabular\tabular_000201.csv
data\user_data\D3\tabular\tabular_000202.csv,csv,1622017,1.5468759536743164,0.0015106210485100746,.csv,tabular\tabular_000202.csv
data\user_data\D3\tabular\tabular_000203.csv,csv,20033169,19.10511875152588,0.01865734253078699,.csv,tabular\tabular_000203.csv
data\user_data\D3\tabular\tabular_000204.csv,csv,4520351,4.310942649841309,0.004209904931485653,.csv,tabular\tabular_000204.csv
data\user_data\D3\tabular\tabular_000205.csv,csv,3478142,3.317014694213867,0.0032392721623182297,.csv,tabular\tabular_000205.csv
data\user_data\D3\tabular\tabular_000206.csv,csv,1783288,1.7006759643554688,0.0016608163714408875,.csv,tabular\tabular_000206.csv
data\user_data\D3\tabular\tabular_000207.csv,csv,1775589,1.693333625793457,0.0016536461189389229,.csv,tabular\tabular_000207.csv
data\user_data\D3\tabular\tabular_000208.csv,csv,2073749,1.9776811599731445,0.001931329257786274,.csv,tabular\tabular_000208.csv
data\user_data\D3\tabular\tabular_000209.csv,csv,1376132,1.3123817443847656,0.0012816227972507477,.csv,tabular\tabular_000209.csv
data\user_data\D3\tabular\tabular_000210.csv,csv,1195161,1.1397943496704102,0.00111308041960001,.csv,tabular\tabular_000210.csv
data\user_data\D3\tabular\tabular_000211.csv,csv,2754948,2.6273231506347656,0.0025657452642917633,.csv,tabular\tabular_000211.csv
data\user_data\D3\tabular\tabular_000212.csv,csv,1909257,1.8208093643188477,0.0017781341448426247,.csv,tabular\tabular_000212.csv
data\user_data\D3\tabular\tabular_000213.csv,csv,8477176,8.084465026855469,0.007894985377788544,.csv,tabular\tabular_000213.csv
