plaintext_size,enc_latency_ms,dec_latency_ms,enc_MBps,dec_MBps
1024,0.0029159,0.0028708,334.90946191570356,340.1708582973387
4096,0.0054156000000000004,0.0055347,721.2958859590811,705.774477388115
16384,0.011179,0.0108024,1397.7099919491905,1446.4378286306746
65536,0.033602,0.033576,1860.008332837331,1861.4486538003337
262144,0.1284734,0.1280902,1945.928106518548,1951.7496264351216
1048576,0.9489025999999999,0.8288089000000001,1053.848940871276,1206.550750118634
