algorithm,keygen_us,encaps_us,decaps_us
Kyber512,5367.8,5064.7,8798.6
Kyber512,4235.8,5240.1,7905.5
Kyber512,3933.0,5125.6,9886.1
Kyber512,3798.6,5147.7,9228.9
Kyber512,3765.5,5058.9,8835.8
Kyber512,3707.4,5096.8,9678.1
Kyber512,3745.1,5150.7,13587.5
Kyber512,5581.2,5106.5,7418.4
Kyber512,6220.0,5069.2,11456.9
Kyber512,10891.4,7302.7,7358.0
Kyber512,7314.5,6534.9,8371.8
Kyber512,4651.1,5303.9,8110.9
Kyber512,3918.4,5283.4,9219.9
Kyber512,3902.1,5270.0,8476.8
Kyber512,3880.2,5731.2,8383.7
Kyber512,3700.1,5262.7,8430.9
Kyber512,3766.2,5692.5,7610.1
Kyber512,3717.5,6377.1,7282.5
Kyber512,3723.2,6635.5,7220.7
Kyber512,3715.5,6396.0,7313.5
Kyber512,4859.7,7767.1,7390.2
Kyber512,5287.0,5155.6,7793.8
Kyber512,5413.0,5065.8,11842.9
Kyber512,5961.3,7194.8,7263.8
Kyber512,3713.1,6951.4,7246.7
Kyber512,3728.0,5347.9,7227.1
Kyber512,3676.6,10753.0,10906.0
Kyber512,4780.5,5047.4,8761.4
Kyber512,3698.5,5041.9,10601.8
Kyber512,3719.1,5222.6,8516.6
Kyber512,3758.6,5305.8,8569.1
Kyber512,3747.0,6548.8,7735.8
Kyber512,3924.7,13311.8,15271.0
Kyber512,10808.6,15301.2,11271.2
Kyber512,9006.7,5388.1,7915.0
Kyber512,3737.7,5084.6,8893.9
Kyber512,3690.5,5062.4,7701.2
Kyber512,3693.7,5042.7,10515.2
Kyber512,3701.2,5823.7,8539.9
Kyber512,3681.3,6051.1,14192.7
Kyber512,5124.6,6890.0,8042.6
Kyber512,10762.4,8848.6,7282.3
Kyber512,3865.4,5047.5,7222.0
Kyber512,3679.6,6144.9,7230.5
Kyber512,3867.0,5034.2,7210.8
Kyber512,3882.6,5079.3,7219.9
Kyber512,4202.7,6376.8,7422.8
Kyber512,3710.9,6957.4,7233.6
Kyber512,4552.4,5303.7,7248.2
Kyber512,6476.4,5883.5,8225.7
Kyber512,4505.6,5054.8,7366.4
Kyber512,3679.7,5083.9,9093.7
Kyber512,3688.8,5031.0,10327.0
Kyber512,3733.1,5038.5,9307.4
Kyber512,3670.8,5119.1,9676.6
Kyber512,3696.1,6056.0,8248.6
Kyber512,3883.4,7489.1,7278.0
Kyber512,5346.0,5116.6,7264.7
Kyber512,9029.7,15166.7,21484.1
Kyber512,10768.7,15273.6,18492.4
Kyber512,3697.6,9200.9,18754.9
Kyber512,3699.0,5066.8,9133.8
Kyber512,11106.5,8002.7,19311.2
Kyber512,3743.2,6422.5,14632.4
Kyber512,4496.5,5091.6,7515.7
Kyber512,3812.6,5043.0,7790.0
Kyber512,4111.5,5063.1,7485.0
Kyber512,3674.6,5104.3,10765.8
Kyber512,7041.9,5102.4,7895.3
Kyber512,3693.9,5110.6,8851.8
Kyber512,3705.8,5264.3,7314.4
Kyber512,3658.3,5076.6,9024.1
Kyber512,3680.5,5226.8,7354.4
Kyber512,3703.0,5184.8,7313.2
Kyber512,3659.2,5452.4,11839.2
Kyber512,3678.5,5336.5,7290.8
Kyber512,3694.0,7459.5,7300.6
Kyber512,4347.9,5666.4,7307.8
Kyber512,3890.3,7629.6,7295.1
Kyber512,4030.6,5105.7,7359.3
Kyber512,5174.5,5081.3,9691.2
Kyber512,4855.9,5119.9,9387.9
Kyber512,4051.7,5087.9,7542.5
Kyber512,3657.4,5138.6,8583.8
Kyber512,3693.5,5071.8,8176.3
Kyber512,3693.9,5153.3,9088.6
Kyber512,3668.7,5155.8,9231.7
Kyber512,3665.2,5561.4,7823.2
Kyber512,3675.9,7401.1,12317.2
Kyber512,5941.3,10327.2,11552.6
Kyber512,3718.4,7695.0,7300.2
Kyber512,3693.8,5386.6,7306.2
Kyber512,3673.0,5753.6,7315.7
Kyber512,3849.8,5219.2,7274.0
Kyber512,4427.8,5896.5,7305.2
Kyber512,3819.6,5354.4,7336.5
Kyber512,4614.0,5122.6,7439.4
Kyber512,3696.4,5232.5,8757.9
Kyber512,3850.8,5346.4,7742.3
Kyber512,3885.1,5298.2,10480.1
Kyber512,3845.7,5781.7,9338.2
Kyber512,3849.7,5337.4,7921.1
Kyber512,3836.0,5333.9,8566.4
Kyber512,3836.5,5296.1,7797.2
Kyber512,3879.0,5354.3,8268.1
Kyber512,3744.8,5092.8,7451.8
Kyber512,3689.2,5087.3,7787.5
Kyber512,3679.0,5113.2,11922.1
Kyber512,3702.8,5328.6,8041.1
Kyber512,3750.3,7494.1,21611.0
Kyber512,10813.1,15138.2,21635.8
Kyber512,10794.5,6422.1,7329.5
Kyber512,4199.4,5161.1,8448.3
Kyber512,4963.2,5133.4,7349.2
Kyber512,4893.8,5092.6,7621.0
Kyber512,3691.4,5103.9,7282.7
Kyber512,3877.9,5070.0,7322.5
Kyber512,3927.3,5088.1,7728.0
Kyber512,6211.1,5556.5,16961.1
Kyber512,12047.2,6464.3,15646.3
Kyber512,10836.2,15270.1,21675.7
Kyber512,10872.5,15265.2,17944.8
Kyber512,3738.3,5117.5,9753.8
Kyber512,3738.8,5128.0,7628.8
Kyber512,3685.2,6142.0,7986.7
Kyber512,3711.9,5080.2,8283.2
Kyber512,3706.5,5215.3,7280.1
Kyber512,3698.4,6041.5,7429.6
Kyber512,3690.1,8622.8,8970.4
Kyber512,5620.1,5109.8,8706.3
Kyber512,4680.8,5155.9,7560.5
Kyber512,3715.4,5630.2,8994.7
Kyber512,3800.9,5112.9,7585.0
Kyber512,3717.5,5073.0,14078.7
Kyber512,3780.7,5402.5,7825.0
Kyber512,3789.3,5083.3,7260.1
Kyber512,3558.3,4923.4,7557.7
Kyber512,3607.2,4917.5,8094.4
Kyber512,3594.4,5508.4,9222.7
Kyber512,3543.9,6984.8,14859.3
Kyber512,6369.9,5628.5,12935.8
Kyber512,10796.7,12105.0,9620.4
Kyber512,3724.4,5879.6,7720.6
Kyber512,3755.3,5055.9,8234.0
Kyber512,3730.3,5355.2,8031.7
Kyber512,3714.4,6077.0,15989.9
Kyber512,10872.1,15869.3,17155.7
Kyber512,4321.8,5300.5,7340.1
Kyber512,3768.0,5214.3,7250.2
Kyber512,3762.9,5093.2,7239.8
Kyber512,3848.9,7424.8,7286.0
Kyber512,3772.3,6455.5,7291.2
Kyber512,4304.4,5478.9,7270.7
Kyber512,5634.2,5209.3,7534.1
Kyber512,3738.7,5078.0,7417.2
Kyber512,3771.4,5088.3,8216.6
Kyber512,3947.7,5101.7,7263.4
Kyber512,3728.3,5031.7,9044.9
Kyber512,4485.7,5094.9,7283.5
Kyber512,9936.0,6374.1,8660.9
Kyber512,3825.0,5316.6,7366.9
Kyber512,3736.0,5582.3,7944.4
Kyber512,3730.1,6021.4,7246.4
Kyber512,3738.2,6136.4,7268.5
Kyber512,3727.5,6010.6,7228.9
Kyber512,3713.6,7191.3,7274.1
Kyber512,4109.5,6617.4,7223.9
Kyber512,3715.7,5840.8,7237.1
Kyber512,3735.0,5575.7,7262.5
Kyber512,3727.1,5302.4,7215.7
Kyber512,3962.2,5418.2,7244.2
Kyber512,5235.7,15455.5,8415.6
Kyber512,3749.2,9105.7,16866.4
Kyber512,3766.1,5091.2,7511.0
Kyber512,3755.3,5102.3,14776.8
Kyber512,3904.6,5817.8,7587.3
Kyber512,3971.8,7414.8,7548.1
Kyber512,4151.3,6084.4,7545.8
Kyber512,5915.9,5318.6,7922.1
Kyber512,3992.4,5271.9,8979.2
Kyber512,3979.8,7849.1,9765.8
Kyber512,4077.2,7414.0,7924.7
Kyber512,3977.4,10864.9,7624.1
Kyber512,4912.8,5286.2,7577.2
Kyber512,4977.7,5304.5,8073.9
Kyber512,4306.4,5583.1,7892.4
Kyber512,3918.4,5296.8,7598.1
Kyber512,3860.2,5284.0,8832.0
Kyber512,3868.6,5281.1,7705.3
Kyber512,3877.8,5927.3,11056.8
Kyber512,3902.4,6094.2,8137.5
Kyber512,3950.1,7165.7,7559.2
Kyber512,3944.0,6968.6,7546.9
Kyber512,5557.0,5296.7,7782.1
Kyber512,5796.6,5265.1,7758.0
Kyber512,3885.3,5278.6,8609.2
Kyber512,6574.9,15760.3,15867.6
Kyber512,3868.9,5358.2,7332.8
Kyber512,3721.6,5059.6,7991.8
Kyber512,3704.2,5145.6,7246.0
Kyber512,3690.0,6314.6,8826.5
Kyber512,3733.6,5233.9,7218.7
Kyber512,3708.2,5520.8,7261.1
Kyber512,3723.8,5168.2,7255.3
Kyber512,3708.0,8294.9,7249.8
Kyber512,4386.5,5027.7,7212.4
Kyber512,4063.1,5049.4,8093.9
Kyber512,4244.9,5044.6,7756.5
Kyber512,5250.9,6389.7,7264.6
Kyber512,6232.2,5166.4,7285.0
Kyber512,3859.9,5055.4,7252.6
Kyber512,4822.9,5075.8,7234.2
Kyber512,6541.8,5062.4,7557.1
Kyber512,3724.0,5044.0,7279.9
Kyber512,3712.0,5049.2,9458.9
Kyber512,3930.9,5098.3,7500.6
Kyber512,3805.8,5064.0,8563.4
Kyber512,3747.2,5080.0,7606.2
Kyber512,3687.4,5030.4,8344.3
Kyber512,3649.1,5045.7,7283.0
Kyber512,3683.7,5055.6,8337.1
Kyber512,3686.3,5054.6,9136.9
Kyber512,3959.7,5050.2,7639.7
Kyber512,3519.2,4892.6,8088.7
Kyber512,3580.2,4869.9,7236.1
Kyber512,3548.8,4864.5,9502.5
Kyber512,3712.8,4897.7,7965.9
Kyber512,3560.7,4874.6,8246.5
Kyber512,3686.3,5056.2,7463.9
Kyber512,3671.5,5095.6,10482.8
Kyber512,3714.9,5079.3,15804.0
Kyber512,7091.0,5118.9,8618.1
Kyber512,4161.0,5124.3,11494.8
Kyber512,8121.3,7172.0,7267.4
Kyber512,3806.8,6802.0,9201.1
