path,pipeline,size_mb,t_comp_ms,t_aes_ms,t_kem_ms,t_total_ms
data\user_data\D1\Breaking_Mindset_Barriers.mp4,A,16.0,89.41519999643788,15.989599982276559,27.566000004298985,132.97079998301342
data\user_data\D1\Breaking_Mindset_Barriers.mp4,B,16.0,0.0,16.693999990820885,26.007500011473894,42.70150000229478
data\user_data\D1\Breaking_Mindset_Barriers.mp4,C,16.0,0.0,17.17599999392405,0.0,17.17599999392405
data\user_data\D1\Breaking_Mindset_Barriers.mp4,D,16.0,708.9706000406295,15.102999983355403,25.3740000189282,749.4476000429131
data\user_data\D1\IMG_20240505_184443_536.jpg,A,6.8355817794799805,28.03809999022633,8.732900023460388,32.67099999357015,69.44200000725687
data\user_data\D1\IMG_20240505_184443_536.jpg,B,6.8355817794799805,0.0,7.4071999988518655,28.13539997441694,35.54259997326881
data\user_data\D1\IMG_20240505_184443_536.jpg,C,6.8355817794799805,0.0,7.840299978852272,0.0,7.840299978852272
data\user_data\D1\IMG_20240505_184443_536.jpg,D,6.8355817794799805,303.010199975688,7.765299989841878,26.064799982123077,336.84029994765297
data\user_data\D1\IMG_20240505_184514_417.jpg,A,6.681689262390137,27.413600008003414,6.5528000122867525,26.609200052917004,60.57560007320717
data\user_data\D1\IMG_20240505_184514_417.jpg,B,6.681689262390137,0.0,6.716800038702786,26.06140001444146,32.778200053144246
data\user_data\D1\IMG_20240505_184514_417.jpg,C,6.681689262390137,0.0,7.016099989414215,0.0,7.016099989414215
data\user_data\D1\IMG_20240505_184514_417.jpg,D,6.681689262390137,295.4989999998361,6.428799999412149,24.242999963462353,326.1707999627106
data\user_data\D1\IMG_20240505_184517_524.jpg,A,6.62376594543457,24.650599982123822,6.739599979482591,26.355599984526634,57.74579994613305
data\user_data\D1\IMG_20240505_184517_524.jpg,B,6.62376594543457,0.0,6.9352000136859715,25.07299999706447,32.00820001075044
data\user_data\D1\IMG_20240505_184517_524.jpg,C,6.62376594543457,0.0,6.732699985150248,0.0,6.732699985150248
data\user_data\D1\IMG_20240505_184517_524.jpg,D,6.62376594543457,287.6881000120193,6.3801000360399485,24.975599953904748,319.043800001964
data\user_data\D1\IMG_20240505_184520_085.jpg,A,6.8107757568359375,25.088399997912347,6.864599999971688,25.115699972957373,57.06869997084141
data\user_data\D1\IMG_20240505_184520_085.jpg,B,6.8107757568359375,0.0,8.174999966286123,30.244299967307597,38.41929993359372
data\user_data\D1\IMG_20240505_184520_085.jpg,C,6.8107757568359375,0.0,7.639400020707399,0.0,7.639400020707399
data\user_data\D1\IMG_20240505_184520_085.jpg,D,6.8107757568359375,313.65799997001886,7.473799982108176,25.752199988346547,346.8839999404736
data\user_data\D1\IMG_20240505_185009_663.jpg,A,6.127076148986816,27.1667999913916,6.942999956663698,27.300600020680577,61.410399968735874
data\user_data\D1\IMG_20240505_185009_663.jpg,B,6.127076148986816,0.0,6.879799999296665,31.534200010355562,38.41400000965223
data\user_data\D1\IMG_20240505_185009_663.jpg,C,6.127076148986816,0.0,6.829199963249266,0.0,6.829199963249266
data\user_data\D1\IMG_20240505_185009_663.jpg,D,6.127076148986816,311.6044999915175,8.014400023967028,30.552499985788018,350.17140000127256
data\user_data\D1\IMG_20240505_185010_443.jpg,A,6.577130317687988,32.87049999926239,8.877600019332021,32.90319995721802,74.65129997581244
data\user_data\D1\IMG_20240505_185010_443.jpg,B,6.577130317687988,0.0,8.487300015985966,33.20159995928407,41.68889997527003
data\user_data\D1\IMG_20240505_185010_443.jpg,C,6.577130317687988,0.0,9.039700031280518,0.0,9.039700031280518
data\user_data\D1\IMG_20240505_185010_443.jpg,D,6.577130317687988,395.1175999827683,8.622399996966124,36.864299967419356,440.6042999471538
data\user_data\D1\PXL_20251202_133232266.MP.jpg,A,6.188117980957031,28.088800027035177,8.23340000351891,34.53800000716001,70.8602000377141
data\user_data\D1\PXL_20251202_133232266.MP.jpg,B,6.188117980957031,0.0,8.568899997044355,33.941400004550815,42.51030000159517
data\user_data\D1\PXL_20251202_133232266.MP.jpg,C,6.188117980957031,0.0,8.752399997320026,0.0,8.752399997320026
