path,kind,size_bytes,payload_bytes_processed,l_io_read_ms,l_io_write_ms,l_kem_ms,l_aes_ms,l_total_ms,kem_ok,aes_ok,kem_ciphertext_bytes,aes_ciphertext_bytes,dataset_id,run_id,file_index
data\user_data\D3\highentropy\highentropy_000000.bin,binaries,485314708,485314708,898.5904,0.0,40.8769,837.5013,1776.9686000000002,True,True,1568,485314724,D3,D3_r2,1
data\user_data\D3\highentropy\highentropy_000001.bin,binaries,144644697,144644697,198.745,0.0,53.6827,223.4708,475.8985,True,True,1568,144644713,D3,D3_r2,2
data\user_data\D3\highentropy\highentropy_000002.bin,binaries,53341028,53341028,57.0951,0.0,44.3882,80.7068,182.1901,True,True,1568,53341044,D3,D3_r2,3
data\user_data\D3\highentropy\highentropy_000003.bin,binaries,427116038,427116038,609.5074,0.0,44.6362,691.5424,1345.6860000000001,True,True,1568,427116054,D3,D3_r2,4
data\user_data\D3\highentropy\highentropy_000004.bin,binaries,455867797,455867797,619.8631,0.0,47.347,701.8895,1369.0996,True,True,1568,455867813,D3,D3_r2,5
data\user_data\D3\highentropy\highentropy_000005.bin,binaries,200353757,200353757,271.8243,0.0,41.5306,272.8018,586.1567,True,True,1568,200353773,D3,D3_r2,6
data\user_data\D3\highentropy\highentropy_000006.bin,binaries,246112345,246112345,323.9004,0.0,43.3075,376.7857,743.9936,True,True,1568,246112361,D3,D3_r2,7
data\user_data\D3\highentropy\highentropy_000007.bin,binaries,63607473,63607473,67.8021,0.0,42.2738,95.1987,205.2746,True,True,1568,63607489,D3,D3_r2,8
data\user_data\D3\highentropy\highentropy_000008.bin,binaries,306232197,306232197,415.346,0.0,41.53,499.8637,956.7397,True,True,1568,306232213,D3,D3_r2,9
data\user_data\D3\highentropy\highentropy_000009.bin,binaries,90443985,90443985,117.0937,0.0,44.3615,134.2336,295.6888,True,True,1568,90444001,D3,D3_r2,10
data\user_data\D3\highentropy\highentropy_000010.bin,binaries,56283868,56283868,55.8857,0.0,42.6831,79.7335,178.3023,True,True,1568,56283884,D3,D3_r2,11
data\user_data\D3\highentropy\highentropy_000011.bin,binaries,322361104,322361104,493.2217,0.0,46.816,535.8889,1075.9266,True,True,1568,322361120,D3,D3_r2,12
data\user_data\D3\highentropy\highentropy_000012.bin,binaries,116321202,116321202,146.4214,0.0,51.7062,184.1735,382.3011,True,True,1568,116321218,D3,D3_r2,13
data\user_data\D3\highentropy\highentropy_000013.bin,binaries,220217279,220217279,315.0889,0.0,47.5592,334.6914,697.3395,True,True,1568,220217295,D3,D3_r2,14
data\user_data\D3\highentropy\highentropy_000014.bin,binaries,216463966,216463966,284.5806,0.0,55.6525,339.6275,679.8606,True,True,1568,216463982,D3,D3_r2,15
data\user_data\D3\highentropy\highentropy_000015.bin,binaries,73811589,73811589,104.4459,0.0,39.0566,101.2709,244.77339999999998,True,True,1568,73811605,D3,D3_r2,16
data\user_data\D3\highentropy\highentropy_000016.bin,binaries,79920936,79920936,84.8366,0.0,49.7662,117.3143,251.9171,True,True,1568,79920952,D3,D3_r2,17
data\user_data\D3\highentropy\highentropy_000017.bin,binaries,68231180,68231180,79.8205,0.0,57.2209,105.5064,242.5478,True,True,1568,68231196,D3,D3_r2,18
data\user_data\D3\highentropy\highentropy_000018.bin,binaries,54223643,54223643,60.1678,0.0,44.6009,81.6665,186.4352,True,True,1568,54223659,D3,D3_r2,19
data\user_data\D3\highentropy\highentropy_000019.bin,binaries,160813112,160813112,205.503,0.0,43.7634,273.2213,522.4876999999999,True,True,1568,160813128,D3,D3_r2,20
data\user_data\D3\highentropy\highentropy_000020.bin,binaries,483583504,483583504,837.7566,0.0,49.6821,862.1259,1749.5646000000002,True,True,1568,483583520,D3,D3_r2,21
data\user_data\D3\highentropy\highentropy_000021.bin,binaries,60832014,60832014,62.5999,0.0,39.882,84.8151,187.297,True,True,1568,60832030,D3,D3_r2,22
data\user_data\D3\highentropy\highentropy_000022.bin,binaries,182246041,182246041,279.5827,0.0,46.4537,289.646,615.6823999999999,True,True,1568,182246057,D3,D3_r2,23
data\user_data\D3\highentropy\highentropy_000023.bin,binaries,153273994,153273994,216.8539,0.0,105.174,294.6065,616.6344,True,True,1568,153274010,D3,D3_r2,24
data\user_data\D3\highentropy\highentropy_000024.bin,binaries,209427335,209427335,284.248,0.0,49.9241,354.3085,688.4806,True,True,1568,209427351,D3,D3_r2,25
data\user_data\D3\highentropy\highentropy_000025.bin,binaries,64342620,64342620,68.6111,0.0,48.3262,107.2593,224.1966,True,True,1568,64342636,D3,D3_r2,26
data\user_data\D3\highentropy\highentropy_000026.bin,binaries,198871524,198871524,279.6266,0.0,60.4789,329.1805,669.2860000000001,True,True,1568,198871540,D3,D3_r2,27
data\user_data\D3\highentropy\highentropy_000027.bin,binaries,97533862,97533862,126.1611,0.0,80.7677,173.5763,380.5051,True,True,1568,97533878,D3,D3_r2,28
data\user_data\D3\highentropy\highentropy_000028.bin,binaries,188800212,188800212,264.992,0.0,47.7717,311.6148,624.3785,True,True,1568,188800228,D3,D3_r2,29
data\user_data\D3\highentropy\highentropy_000029.bin,binaries,231315189,231315189,330.0636,0.0,42.7712,379.6755,752.5103,True,True,1568,231315205,D3,D3_r2,30
data\user_data\D3\highentropy\highentropy_000030.bin,binaries,158710729,158710729,200.1953,0.0,40.6537,279.6636,520.5126,True,True,1568,158710745,D3,D3_r2,31
data\user_data\D3\highentropy\highentropy_000031.bin,binaries,118797982,118797982,149.4258,0.0,48.8979,196.8993,395.223,True,True,1568,118797998,D3,D3_r2,32
data\user_data\D3\highentropy\highentropy_000032.bin,binaries,93051213,93051213,102.1117,0.0,46.0436,137.9539,286.1092,True,True,1568,93051229,D3,D3_r2,33
data\user_data\D3\highentropy\highentropy_000033.bin,binaries,449868324,449868324,804.8841,0.0,44.1199,844.1507,1693.1547,True,True,1568,449868340,D3,D3_r2,34
data\user_data\D3\highentropy\highentropy_000034.bin,binaries,148921683,148921683,204.1018,0.0,51.9492,245.0653,501.1163,True,True,1568,148921699,D3,D3_r2,35
data\user_data\D3\highentropy\highentropy_000035.bin,binaries,177717880,177717880,250.0489,0.0,51.9939,290.3164,592.3592,True,True,1568,177717896,D3,D3_r2,36
data\user_data\D3\highentropy\highentropy_000036.bin,binaries,54811221,54811221,64.5193,0.0,72.2138,90.4559,227.18900000000002,True,True,1568,54811237,D3,D3_r2,37
data\user_data\D3\highentropy\highentropy_000037.bin,binaries,168916410,168916410,225.9309,0.0,49.4395,263.5845,538.9549,True,True,1568,168916426,D3,D3_r2,38
data\user_data\D3\highentropy\highentropy_000038.bin,binaries,53131264,53131264,55.4022,0.0,44.7053,79.5144,179.62189999999998,True,True,1568,53131280,D3,D3_r2,39
data\user_data\D3\highentropy\highentropy_000039.bin,binaries,73002602,73002602,78.5082,0.0,41.1946,104.5129,224.2157,True,True,1568,73002618,D3,D3_r2,40
data\user_data\D3\highentropy\highentropy_000040.bin,binaries,155738806,155738806,197.6808,0.0,47.5644,234.6406,479.8858,True,True,1568,155738822,D3,D3_r2,41
data\user_data\D3\highentropy\highentropy_000041.bin,binaries,125002114,125002114,158.6869,0.0,42.7012,184.779,386.1671,True,True,1568,125002130,D3,D3_r2,42
data\user_data\D3\highentropy\highentropy_000042.bin,binaries,59394347,59394347,58.825,0.0,44.753,85.5549,189.1329,True,True,1568,59394363,D3,D3_r2,43
data\user_data\D3\highentropy\highentropy_000043.bin,binaries,202814231,202814231,294.5337,0.0,55.299,361.8436,711.6763,True,True,1568,202814247,D3,D3_r2,44
data\user_data\D3\highentropy\highentropy_000044.bin,binaries,76484448,76484448,88.7414,0.0,45.7988,125.2592,259.7994,True,True,1568,76484464,D3,D3_r2,45
data\user_data\D3\highentropy\highentropy_000045.bin,binaries,189190861,189190861,280.6704,0.0,58.6486,319.1236,658.4426,True,True,1568,189190877,D3,D3_r2,46
data\user_data\D3\highentropy\highentropy_000046.bin,binaries,73082877,73082877,77.6788,0.0,42.6091,103.4519,223.7398,True,True,1568,73082893,D3,D3_r2,47
data\user_data\D3\highentropy\highentropy_000047.bin,binaries,453813072,453813072,815.8482,0.0,49.2829,858.8496,1723.9807,True,True,1568,453813088,D3,D3_r2,48
data\user_data\D3\highentropy\highentropy_000048.bin,binaries,309421073,309421073,526.8247,0.0,81.5881,535.5223,1143.9351000000001,True,True,1568,309421089,D3,D3_r2,49
data\user_data\D3\highentropy\highentropy_000049.bin,binaries,474791614,474791614,633.6598,0.0,48.146,824.3295,1506.1353,True,True,1568,474791630,D3,D3_r2,50
data\user_data\D3\highentropy\highentropy_000050.bin,binaries,72576777,72576777,112.0726,0.0,98.3725,108.1512,318.5963,True,True,1568,72576793,D3,D3_r2,51
data\user_data\D3\highentropy\highentropy_000051.bin,binaries,105916257,105916257,165.0561,0.0,41.4527,151.8705,358.37929999999994,True,True,1568,105916273,D3,D3_r2,52
data\user_data\D3\highentropy\highentropy_000052.bin,binaries,57432740,57432740,57.73,0.0,44.487,87.5851,189.8021,True,True,1568,57432756,D3,D3_r2,53
data\user_data\D3\highentropy\highentropy_000053.bin,binaries,99163903,99163903,111.4652,0.0,43.5613,153.634,308.66049999999996,True,True,1568,99163919,D3,D3_r2,54
data\user_data\D3\highentropy\highentropy_000054.bin,binaries,335801338,335801338,527.2097,0.0,59.2524,576.6807,1163.1428,True,True,1568,335801354,D3,D3_r2,55
data\user_data\D3\highentropy\highentropy_000055.bin,binaries,78870201,78870201,83.3992,0.0,62.3821,125.0387,270.82,True,True,1568,78870217,D3,D3_r2,56
data\user_data\D3\highentropy\highentropy_000056.bin,binaries,74841146,74841146,83.4544,0.0,45.0446,112.4852,240.98420000000004,True,True,1568,74841162,D3,D3_r2,57
data\user_data\D3\highentropy\highentropy_000057.bin,binaries,472376814,472376814,707.9533,0.0,52.1051,868.7545,1628.8129,True,True,1568,472376830,D3,D3_r2,58
data\user_data\D3\highentropy\highentropy_000058.bin,binaries,74837852,74837852,84.7735,0.0,42.9152,114.7723,242.461,True,True,1568,74837868,D3,D3_r2,59
data\user_data\D3\highentropy\highentropy_000059.bin,binaries,357650809,357650809,565.3702,0.0,50.1864,599.9858,1215.5424,True,True,1568,357650825,D3,D3_r2,60
data\user_data\D3\highentropy\highentropy_000060.bin,binaries,57627890,57627890,85.5944,0.0,54.5514,94.8954,235.0412,True,True,1568,57627906,D3,D3_r2,61
data\user_data\D3\highentropy\highentropy_000061.bin,binaries,127571436,127571436,164.5254,0.0,44.3002,190.6375,399.46309999999994,True,True,1568,127571452,D3,D3_r2,62
data\user_data\D3\highentropy\highentropy_000062.bin,binaries,117263329,117263329,144.2607,0.0,52.7574,175.7034,372.7215,True,True,1568,117263345,D3,D3_r2,63
data\user_data\D3\highentropy\highentropy_000063.bin,binaries,115153650,115153650,140.9378,0.0,41.0098,166.0384,347.986,True,True,1568,115153666,D3,D3_r2,64
data\user_data\D3\highentropy\highentropy_000064.bin,binaries,343584033,343584033,492.5258,0.0,49.5685,638.8818,1180.9760999999999,True,True,1568,343584049,D3,D3_r2,65
data\user_data\D3\highentropy\highentropy_000065.bin,binaries,156857332,156857332,195.7231,0.0,46.3341,258.052,500.1092,True,True,1568,156857348,D3,D3_r2,66
data\user_data\D3\highentropy\highentropy_000066.bin,binaries,318024228,318024228,453.9371,0.0,47.4384,560.4132,1061.7887,True,True,1568,318024244,D3,D3_r2,67
data\user_data\D3\highentropy\highentropy_000067.bin,binaries,155027963,155027963,205.5051,0.0,45.2908,235.3686,486.1645,True,True,1568,155027979,D3,D3_r2,68
data\user_data\D3\highentropy\highentropy_000068.bin,binaries,344281688,344281688,507.5603,0.0,45.2237,622.9261,1175.7101,True,True,1568,344281704,D3,D3_r2,69
data\user_data\D3\highentropy\highentropy_000069.bin,binaries,399151270,399151270,664.2731,0.0,56.6293,719.6017,1440.5041,True,True,1568,399151286,D3,D3_r2,70
data\user_data\D3\highentropy\highentropy_000070.bin,binaries,144266772,144266772,186.3073,0.0,48.0561,221.3845,455.7479,True,True,1568,144266788,D3,D3_r2,71
data\user_data\D3\highentropy\highentropy_000071.bin,binaries,316689391,316689391,479.285,0.0,62.4404,618.825,1160.5504,True,True,1568,316689407,D3,D3_r2,72
data\user_data\D3\highentropy\highentropy_000072.bin,binaries,342224484,342224484,501.9899,0.0,45.6376,638.1778,1185.8053,True,True,1568,342224500,D3,D3_r2,73
data\user_data\D3\highentropy\highentropy_000073.bin,binaries,103573543,103573543,121.5784,0.0,63.3942,168.1171,353.0897,True,True,1568,103573559,D3,D3_r2,74
data\user_data\D3\highentropy\highentropy_000074.bin,binaries,69734323,69734323,74.8676,0.0,48.2032,107.1714,230.2422,True,True,1568,69734339,D3,D3_r2,75
data\user_data\D3\highentropy\highentropy_000075.bin,binaries,80388102,80388102,92.8319,0.0,52.4233,126.3794,271.6346,True,True,1568,80388118,D3,D3_r2,76
data\user_data\D3\highentropy\highentropy_000076.bin,binaries,143096730,143096730,207.2077,0.0,76.982,245.6076,529.7973,True,True,1568,143096746,D3,D3_r2,77
data\user_data\D3\highentropy\highentropy_000077.bin,binaries,69029912,69029912,84.677,0.0,50.3044,110.9004,245.8818,True,True,1568,69029928,D3,D3_r2,78
data\user_data\D3\highentropy\highentropy_000078.bin,binaries,177569781,177569781,236.2214,0.0,45.2579,298.9753,580.4546,True,True,1568,177569797,D3,D3_r2,79
