path,kind,size_bytes,payload_bytes_processed,l_io_read_ms,l_io_write_ms,l_kem_ms,l_aes_ms,l_total_ms,kem_ok,aes_ok,kem_ciphertext_bytes,aes_ciphertext_bytes,dataset_id,run_id,file_index
data\user_data\D3\highentropy\highentropy_000000.bin,binaries,485314708,485314708,6725.0711,0.0,109.1053,3243.5109,10077.687300000001,True,True,1568,485314724,D3,D3_r3,1
data\user_data\D3\highentropy\highentropy_000001.bin,binaries,144644697,144644697,272.9205,0.0,115.4363,257.658,646.0148,True,True,1568,144644713,D3,D3_r3,2
data\user_data\D3\highentropy\highentropy_000002.bin,binaries,53341028,53341028,72.3235,0.0,131.0666,109.6992,313.0893,True,True,1568,53341044,D3,D3_r3,3
data\user_data\D3\highentropy\highentropy_000003.bin,binaries,427116038,427116038,655.2991,0.0,57.8804,750.7086,1463.8881000000001,True,True,1568,427116054,D3,D3_r3,4
data\user_data\D3\highentropy\highentropy_000004.bin,binaries,455867797,455867797,655.4292,0.0,50.5611,822.4187,1528.409,True,True,1568,455867813,D3,D3_r3,5
data\user_data\D3\highentropy\highentropy_000005.bin,binaries,200353757,200353757,362.4623,0.0,76.0434,327.2281,765.7338,True,True,1568,200353773,D3,D3_r3,6
data\user_data\D3\highentropy\highentropy_000006.bin,binaries,246112345,246112345,354.5311,0.0,68.0733,437.7303,860.3347,True,True,1568,246112361,D3,D3_r3,7
data\user_data\D3\highentropy\highentropy_000007.bin,binaries,63607473,63607473,68.5377,0.0,63.894,100.0346,232.4663,True,True,1568,63607489,D3,D3_r3,8
data\user_data\D3\highentropy\highentropy_000008.bin,binaries,306232197,306232197,475.5429,0.0,73.1756,539.1371,1087.8555999999999,True,True,1568,306232213,D3,D3_r3,9
data\user_data\D3\highentropy\highentropy_000009.bin,binaries,90443985,90443985,126.3826,0.0,328.5572,212.4946,667.4344,True,True,1568,90444001,D3,D3_r3,10
data\user_data\D3\highentropy\highentropy_000010.bin,binaries,56283868,56283868,67.8139,0.0,89.6486,86.0712,243.5337,True,True,1568,56283884,D3,D3_r3,11
data\user_data\D3\highentropy\highentropy_000011.bin,binaries,322361104,322361104,543.8841,0.0,91.1647,607.4406,1242.4894,True,True,1568,322361120,D3,D3_r3,12
data\user_data\D3\highentropy\highentropy_000012.bin,binaries,116321202,116321202,146.1092,0.0,50.358,181.4062,377.8734,True,True,1568,116321218,D3,D3_r3,13
data\user_data\D3\highentropy\highentropy_000013.bin,binaries,220217279,220217279,304.3003,0.0,49.0781,348.4095,701.7879,True,True,1568,220217295,D3,D3_r3,14
data\user_data\D3\highentropy\highentropy_000014.bin,binaries,216463966,216463966,297.9279,0.0,64.8435,359.7771,722.5485000000001,True,True,1568,216463982,D3,D3_r3,15
data\user_data\D3\highentropy\highentropy_000015.bin,binaries,73811589,73811589,78.2852,0.0,52.3042,101.175,231.76440000000002,True,True,1568,73811605,D3,D3_r3,16
data\user_data\D3\highentropy\highentropy_000016.bin,binaries,79920936,79920936,97.2064,0.0,58.6891,117.9995,273.895,True,True,1568,79920952,D3,D3_r3,17
data\user_data\D3\highentropy\highentropy_000017.bin,binaries,68231180,68231180,86.7864,0.0,41.6611,100.6649,229.11239999999998,True,True,1568,68231196,D3,D3_r3,18
data\user_data\D3\highentropy\highentropy_000018.bin,binaries,54223643,54223643,61.3182,0.0,45.5362,89.3081,196.1625,True,True,1568,54223659,D3,D3_r3,19
data\user_data\D3\highentropy\highentropy_000019.bin,binaries,160813112,160813112,295.8052,0.0,48.2594,327.0749,671.1395,True,True,1568,160813128,D3,D3_r3,20
data\user_data\D3\highentropy\highentropy_000020.bin,binaries,483583504,483583504,1109.7228,0.0,46.1387,983.7072,2139.5687,True,True,1568,483583520,D3,D3_r3,21
data\user_data\D3\highentropy\highentropy_000021.bin,binaries,60832014,60832014,70.3645,0.0,56.5182,105.7097,232.5924,True,True,1568,60832030,D3,D3_r3,22
data\user_data\D3\highentropy\highentropy_000022.bin,binaries,182246041,182246041,275.2768,0.0,73.0567,308.8349,657.1684,True,True,1568,182246057,D3,D3_r3,23
data\user_data\D3\highentropy\highentropy_000023.bin,binaries,153273994,153273994,207.7408,0.0,59.0554,232.951,499.7472,True,True,1568,153274010,D3,D3_r3,24
data\user_data\D3\highentropy\highentropy_000024.bin,binaries,209427335,209427335,277.5843,0.0,48.1493,296.1245,621.8580999999999,True,True,1568,209427351,D3,D3_r3,25
data\user_data\D3\highentropy\highentropy_000025.bin,binaries,64342620,64342620,69.0291,0.0,56.5257,104.624,230.1788,True,True,1568,64342636,D3,D3_r3,26
data\user_data\D3\highentropy\highentropy_000026.bin,binaries,198871524,198871524,264.2821,0.0,44.263,333.9568,642.5019,True,True,1568,198871540,D3,D3_r3,27
data\user_data\D3\highentropy\highentropy_000027.bin,binaries,97533862,97533862,108.9559,0.0,50.5344,158.5742,318.06449999999995,True,True,1568,97533878,D3,D3_r3,28
data\user_data\D3\highentropy\highentropy_000028.bin,binaries,188800212,188800212,259.4973,0.0,54.0572,310.5674,624.1219000000001,True,True,1568,188800228,D3,D3_r3,29
data\user_data\D3\highentropy\highentropy_000029.bin,binaries,231315189,231315189,464.2403,0.0,48.6401,376.4554,889.3358000000001,True,True,1568,231315205,D3,D3_r3,30
data\user_data\D3\highentropy\highentropy_000030.bin,binaries,158710729,158710729,251.2226,0.0,38.8261,252.41,542.4587,True,True,1568,158710745,D3,D3_r3,31
data\user_data\D3\highentropy\highentropy_000031.bin,binaries,118797982,118797982,156.2172,0.0,52.1957,172.5991,381.01199999999994,True,True,1568,118797998,D3,D3_r3,32
data\user_data\D3\highentropy\highentropy_000032.bin,binaries,93051213,93051213,104.2585,0.0,66.3095,165.7333,336.30129999999997,True,True,1568,93051229,D3,D3_r3,33
data\user_data\D3\highentropy\highentropy_000033.bin,binaries,449868324,449868324,907.0615,0.0,43.961,839.957,1790.9795,True,True,1568,449868340,D3,D3_r3,34
data\user_data\D3\highentropy\highentropy_000034.bin,binaries,148921683,148921683,259.5464,0.0,92.862,238.2033,590.6117,True,True,1568,148921699,D3,D3_r3,35
data\user_data\D3\highentropy\highentropy_000035.bin,binaries,177717880,177717880,267.6315,0.0,60.6013,282.6879,610.9207,True,True,1568,177717896,D3,D3_r3,36
data\user_data\D3\highentropy\highentropy_000036.bin,binaries,54811221,54811221,57.8405,0.0,62.6679,82.7586,203.267,True,True,1568,54811237,D3,D3_r3,37
data\user_data\D3\highentropy\highentropy_000037.bin,binaries,168916410,168916410,229.4,0.0,58.9661,251.418,539.7841000000001,True,True,1568,168916426,D3,D3_r3,38
data\user_data\D3\highentropy\highentropy_000038.bin,binaries,53131264,53131264,52.9689,0.0,44.1825,76.5729,173.7243,True,True,1568,53131280,D3,D3_r3,39
data\user_data\D3\highentropy\highentropy_000039.bin,binaries,73002602,73002602,88.7358,0.0,75.808,109.3793,273.9231,True,True,1568,73002618,D3,D3_r3,40
data\user_data\D3\highentropy\highentropy_000040.bin,binaries,155738806,155738806,206.8204,0.0,46.6968,277.8291,531.3462999999999,True,True,1568,155738822,D3,D3_r3,41
data\user_data\D3\highentropy\highentropy_000041.bin,binaries,125002114,125002114,179.4394,0.0,61.699,194.3969,435.5353,True,True,1568,125002130,D3,D3_r3,42
data\user_data\D3\highentropy\highentropy_000042.bin,binaries,59394347,59394347,63.7296,0.0,48.9344,94.8622,207.5262,True,True,1568,59394363,D3,D3_r3,43
data\user_data\D3\highentropy\highentropy_000043.bin,binaries,202814231,202814231,331.1679,0.0,42.1305,362.2748,735.5732,True,True,1568,202814247,D3,D3_r3,44
data\user_data\D3\highentropy\highentropy_000044.bin,binaries,76484448,76484448,148.3581,0.0,98.7251,128.948,376.0312,True,True,1568,76484464,D3,D3_r3,45
data\user_data\D3\highentropy\highentropy_000045.bin,binaries,189190861,189190861,278.7714,0.0,59.1243,325.0546,662.9503,True,True,1568,189190877,D3,D3_r3,46
