size_bucket,n_files,payload_mb,l_io_read_median_ms,l_io_read_iqr_ms,l_kem_median_ms,l_kem_iqr_ms,l_aes_median_ms,l_aes_iqr_ms,l_total_median_ms,l_total_iqr_ms
"(1050863.999, 5276395.4]",167,399.9600496292114,12.726,18.6156,56.6661,31.07934999999999,4.2273,2.9889499999999996,80.6698,37.62335
"(12644945.8, 30588823.8]",167,3039.791163444519,31.0419,30.857,52.7693,29.926600000000015,31.1786,11.998149999999995,129.8047,69.39005
"(30588823.8, 72661942.0]",167,7641.487955093384,64.018,32.65774999999999,53.9866,23.30064999999999,81.3334,37.75415,210.7727,85.12574999999998
"(5276395.4, 12644945.8]",167,1319.2018194198608,14.1843,20.3495,54.0742,25.45280000000001,13.0806,7.405799999999999,91.7208,52.56785000000002
"(72661942.0, 485314708.0]",167,28559.5590839386,264.2821,321.9244,60.5981,34.086349999999996,262.1291,233.6198,624.1219000000001,543.6670499999999
