size_bucket,n_files,payload_mb,l_io_read_median_ms,l_io_read_iqr_ms,l_kem_median_ms,l_kem_iqr_ms,l_aes_median_ms,l_aes_iqr_ms,l_total_median_ms,l_total_iqr_ms
"(1050863.999, 5276395.4]",167,399.9600496292114,3.9639,1.91695,39.0213,3.395150000000001,3.4717,2.6602499999999996,47.2104,6.199250000000006
"(12644945.8, 30588823.8]",167,3039.791163444519,20.6797,7.138249999999999,39.0347,3.218650000000004,27.0817,10.08885,87.9011,19.832250000000016
"(30588823.8, 72661942.0]",167,7641.487955093384,51.3849,20.351450000000007,39.423,3.99465,65.22,25.54270000000001,157.5999,48.47110000000001
"(5276395.4, 12644945.8]",167,1319.2018194198608,9.9803,3.8797499999999996,39.1845,3.6482000000000028,11.3991,5.138299999999997,61.874900000000004,10.321649999999991
"(72661942.0, 485314708.0]",167,28559.5590839386,203.608,185.11270000000002,40.4266,6.146699999999996,223.0563,188.0134,467.1406,366.24289999999996
