size_bucket,n_files,payload_mb,l_io_read_median_ms,l_io_read_iqr_ms,l_kem_median_ms,l_kem_iqr_ms,l_aes_median_ms,l_aes_iqr_ms,l_total_median_ms,l_total_iqr_ms
"(1050863.999, 5276395.4]",167,399.9600496292114,3.7204,2.06355,48.5213,4.894800000000004,4.024,2.9529499999999995,57.5985,7.630849999999995
"(12644945.8, 30588823.8]",167,3039.791163444519,22.8197,8.005099999999999,50.5245,4.941749999999999,32.91,13.30695,106.7081,24.049400000000006
"(30588823.8, 72661942.0]",167,7641.487955093384,57.0951,22.6216,51.9717,7.80245,81.5502,34.1101,193.95190000000002,64.54419999999999
"(5276395.4, 12644945.8]",167,1319.2018194198608,10.301,4.606249999999999,50.2098,5.683100000000003,14.0526,6.905200000000001,75.603,12.469600000000014
"(72661942.0, 485314708.0]",167,28559.5590839386,219.5652,210.8309,50.0266,9.335550000000005,273.2213,204.11679999999998,547.327,409.76345000000003
