size_bucket,n_files,payload_mb,l_io_read_median_ms,l_io_read_iqr_ms,l_kem_median_ms,l_kem_iqr_ms,l_aes_median_ms,l_aes_iqr_ms,l_total_median_ms,l_total_iqr_ms
"(148400.6, 271912.8]",4757,927.5769853591919,0.984,0.23319999999999996,40.9769,8.7971,0.2541,0.07950000000000002,42.27610000000001,8.933799999999998
"(271912.8, 502314.4]",4757,1701.9962100982666,1.2438,0.3267,40.9631,9.247299999999996,0.4409,0.19930000000000003,42.7096,9.214500000000015
"(37911.999, 80418.0]",4757,273.2473306655884,0.8223,0.15569999999999995,40.7128,9.240500000000004,0.1171,0.030500000000000013,41.7097,9.219800000000006
"(502314.4, 175855636.0]",4757,11955.191787719727,1.5631,0.5713999999999999,41.6306,14.497500000000002,0.9014,0.5685000000000001,44.43899999999999,17.391400000000004
"(80418.0, 148400.6]",4757,502.23307037353516,0.8914,0.18810000000000004,40.8018,9.0334,0.1758,0.07219999999999999,41.9801,9.145400000000002
