size_bucket,n_files,payload_mb,l_io_read_median_ms,l_io_read_iqr_ms,l_kem_median_ms,l_kem_iqr_ms,l_aes_median_ms,l_aes_iqr_ms,l_total_median_ms,l_total_iqr_ms
"(148400.6, 271912.8]",4757,927.5769853591919,1.1087,0.29890000000000005,40.4466,10.9302,0.2492,0.08029999999999998,41.8691,11.074100000000001
"(271912.8, 502314.4]",4757,1701.9962100982666,1.3856,0.383,40.5043,13.2697,0.4265,0.16550000000000004,42.46,13.472999999999999
"(37911.999, 80418.0]",4757,273.2473306655884,0.9494,0.26549999999999996,40.534,12.916699999999999,0.1194,0.035,41.6978,12.950199999999995
"(502314.4, 175855636.0]",4757,11955.191787719727,1.7148,0.5907999999999998,40.2839,9.779199999999996,0.8162,0.47709999999999997,43.817600000000006,17.968700000000005
"(80418.0, 148400.6]",4757,502.23307037353516,1.0123,0.2772999999999999,40.2682,11.401800000000001,0.1715,0.05810000000000001,41.5234,11.483599999999996
