size_bucket,n_files,payload_mb,l_io_read_median_ms,l_io_read_iqr_ms,l_kem_median_ms,l_kem_iqr_ms,l_aes_median_ms,l_aes_iqr_ms,l_total_median_ms,l_total_iqr_ms
"(148400.6, 271912.8]",4757,927.5769853591919,1.2191,0.14949999999999997,37.4767,2.8991000000000042,0.2346,0.06470000000000001,38.9661,2.9812999999999903
"(271912.8, 502314.4]",4757,1701.9962100982666,1.4617,0.26760000000000006,37.4231,2.9055000000000035,0.3965,0.1325,39.3426,3.0638000000000076
"(37911.999, 80418.0]",4757,273.2473306655884,1.0897,0.11070000000000002,37.3942,2.8966999999999956,0.1116,0.0223,38.6223,2.929099999999991
"(502314.4, 175855636.0]",4757,11955.191787719727,1.7351,0.4785999999999999,37.4451,3.0718999999999994,0.7778,0.45899999999999996,40.2799,4.207300000000004
"(80418.0, 148400.6]",4757,502.23307037353516,1.1475,0.1281000000000001,37.4839,3.0792999999999964,0.1577,0.0388,38.8163,3.130899999999997
