dataset_id,run_id,threads,rep,n_files,bytes_processed,wall_s,throughput_mb_s,parallel_efficiency
D2,D2_strong_20260719_203139,1,0,800,223833330,0.4184053000062704,510.1849760829643,0.8670980124064807
D2,D2_strong_20260719_203139,1,1,800,223833330,0.3386065000086091,630.4193746170176,1.0714454802449158
D2,D2_strong_20260719_203139,1,2,800,223833330,0.3417929999995976,624.5420414605795,1.061456507348604
D2,D2_strong_20260719_203139,2,0,800,223833330,0.3242220999673009,658.3884873924796,0.5594905530072811
D2,D2_strong_20260719_203139,2,1,800,223833330,0.3198260000208393,667.4382256688814,0.56718091085799
D2,D2_strong_20260719_203139,2,2,800,223833330,0.3168498000013642,673.7075357969785,0.5725084945835728
D2,D2_strong_20260719_203139,4,0,800,223833330,0.285412399971392,747.9145895486002,0.317784374515735
D2,D2_strong_20260719_203139,4,1,800,223833330,0.2902045000228099,735.5643966923544,0.3125368524499607
D2,D2_strong_20260719_203139,4,2,800,223833330,0.3266976000159047,653.3996514400241,0.2776255503546032
D2,D2_strong_20260719_203139,8,0,800,223833330,0.3168519000173546,673.7030706301357,0.1431261750347335
D2,D2_strong_20260719_203139,8,1,800,223833330,0.2998026999994181,712.015261960946,0.1512654839401373
D2,D2_strong_20260719_203139,8,2,800,223833330,0.3652714000199921,584.3986087194377,0.1241537128269273
D2,D2_strong_20260719_203139,16,0,800,223833330,0.3445041999802924,619.6269827447558,0.0658189370471623
D2,D2_strong_20260719_203139,16,1,800,223833330,0.3364174999878742,634.5213848399047,0.0674010723336425
D2,D2_strong_20260719_203139,16,2,800,223833330,0.2926597999758087,729.3933023747352,0.0774786979723904
D2,D2_strong_20260719_202552,1,0,23785,16106384664,262.598617599986,58.49324541233657,0.8207255223723421
D2,D2_strong_20260719_202552,1,1,23785,16106384664,195.13916829996742,78.71431203706156,1.1044496575526268
D2,D2_strong_20260719_202552,1,2,23785,16106384664,200.51768769999035,76.60294490926871,1.0748248200750314
D2,D2_strong_20260719_202552,2,0,23785,16106384664,203.01183600001968,75.661821925569,0.5308099070735525
D2,D2_strong_20260719_202552,2,1,23785,16106384664,194.17750609997893,79.10414389763334,0.5549597168403092
D2,D2_strong_20260719_202552,2,2,23785,16106384664,207.24765460001072,74.11541237396234,0.5199609810300654
D2,D2_strong_20260719_202552,4,0,23785,16106384664,192.91022670001257,79.62380039137297,0.27930269858004036
D2,D2_strong_20260719_202552,4,1,23785,16106384664,206.1298716000165,74.51731893581153,0.26139028993115887
D2,D2_strong_20260719_202552,4,2,23785,16106384664,180.7378515000455,84.98632276932008,0.2981132422113986
D2,D2_strong_20260719_202552,8,0,23785,16106384664,191.4931083000265,80.21304537054289,0.14068481988548254
D2,D2_strong_20260719_202552,8,1,23785,16106384664,205.32860429998254,74.80811276433352,0.13120516521478504
D2,D2_strong_20260719_202552,8,2,23785,16106384664,193.6499900999479,79.31962907040935,0.13911786639697682
D2,D2_strong_20260719_202552,16,0,23785,16106384664,192.07742550002877,79.96902990671336,0.07012842186000769
D2,D2_strong_20260719_202552,16,1,23785,16106384664,541.7785786000313,28.35151848178927,0.02486271561355792
D2,D2_strong_20260719_202552,16,2,23785,16106384664,184.27382669999497,83.35554570765707,0.07309820915142792
