size_bucket,n_files,payload_mb,l_io_read_median_ms,l_io_read_iqr_ms,l_kem_median_ms,l_kem_iqr_ms,l_aes_median_ms,l_aes_iqr_ms,l_total_median_ms,l_total_iqr_ms
"(341.999, 6510784.0]",26,147.15728759765625,3.32085,0.27095,38.131699999999995,5.156275000000008,8.054400000000001,0.33167499999999883,49.28945,5.263174999999997
"(42641221.0, 313639792.0]",25,2928.3800802230835,42.3288,66.24929999999999,36.8006,2.980800000000002,105.8439,158.0266,187.6355,223.5163
"(6510784.0, 6814479.0]",25,158.52028369903564,3.3879,0.24399999999999977,36.5597,2.9331999999999994,8.3201,0.26789999999999914,48.4145,3.746699999999997
"(6814479.0, 7385791.0]",25,168.96933269500732,3.6515,0.2389000000000001,37.4786,5.149099999999997,9.0337,0.43270000000000053,50.1621,5.453499999999998
"(7385791.0, 42641221.0]",25,481.71115589141846,6.2287,11.3446,37.3899,3.6403000000000034,14.435,28.6507,65.7075,39.744099999999996
