path,kind,size_bytes,payload_bytes_processed,l_io_read_ms,l_io_write_ms,l_kem_ms,l_aes_ms,l_total_ms,kem_ok,aes_ok,kem_ciphertext_bytes,aes_ciphertext_bytes,dataset_id,run_id,file_index
data\user_data\D1\Breaking_Mindset_Barriers.mp4,binaries,42641221,42641221,21.1654,0.0,67.6541,65.4543,154.2738,True,True,1568,42641237,D1,D1_r3,1
data\user_data\D1\IMG_20240505_184443_536.jpg,images,7167627,7167627,4.0344,0.0,66.8411,9.8005,80.676,True,True,1568,7167643,D1,D1_r3,2
data\user_data\D1\IMG_20240505_184514_417.jpg,images,7006259,7006259,3.7931,0.0,43.0803,9.65,56.5234,True,True,1568,7006275,D1,D1_r3,3
data\user_data\D1\IMG_20240505_184517_524.jpg,images,6945522,6945522,3.7127,0.0,47.6078,9.8189,61.139399999999995,True,True,1568,6945538,D1,D1_r3,4
data\user_data\D1\IMG_20240505_184520_085.jpg,images,7141616,7141616,3.7481,0.0,39.3679,9.3603,52.4763,True,True,1568,7141632,D1,D1_r3,5
data\user_data\D1\IMG_20240505_185009_663.jpg,images,6424705,6424705,3.5956,0.0,38.923,8.4039,50.9225,True,True,1568,6424721,D1,D1_r3,6
data\user_data\D1\IMG_20240505_185010_443.jpg,images,6896621,6896621,3.6519,0.0,47.5588,9.0337,60.2444,True,True,1568,6896637,D1,D1_r3,7
data\user_data\D1\PXL_20251202_133232266.MP.jpg,images,6488712,6488712,3.4819,0.0,46.1317,8.8789,58.49250000000001,True,True,1568,6488728,D1,D1_r3,8
data\user_data\D1\PXL_20251202_203139659.TS-000.MP.jpg,images,6309281,6309281,3.2837,0.0,45.9055,8.068,57.257200000000005,True,True,1568,6309297,D1,D1_r3,9
data\user_data\D1\PXL_20251205_175227735.MP.jpg,images,6876895,6876895,3.9645,0.0,40.1637,9.2044,53.3326,True,True,1568,6876911,D1,D1_r3,10
data\user_data\D1\PXL_20251209_113357421.MP.jpg,images,6814479,6814479,3.5509,0.0,38.0956,9.4189,51.0654,True,True,1568,6814495,D1,D1_r3,11
data\user_data\D1\PXL_20251215_080505281.MP.jpg,images,6307834,6307834,3.3988,0.0,53.8796,8.1908,65.4692,True,True,1568,6307850,D1,D1_r3,12
data\user_data\D1\PXL_20251221_124325528.MP.jpg,images,6476575,6476575,4.0526,0.0,36.874,9.0522,49.9788,True,True,1568,6476591,D1,D1_r3,13
data\user_data\D1\PXL_20251221_192530116.mp4,binaries,6592986,6592986,3.3413,0.0,39.3871,8.9084,51.636799999999994,True,True,1568,6593002,D1,D1_r3,14
data\user_data\D1\PXL_20251225_090206837.MP.jpg,images,7014741,7014741,3.6079,0.0,38.4787,8.8312,50.91780000000001,True,True,1568,7014757,D1,D1_r3,15
