size_bucket,n_files,payload_mb,l_io_read_median_ms,l_io_read_iqr_ms,l_kem_median_ms,l_kem_iqr_ms,l_aes_median_ms,l_aes_iqr_ms,l_total_median_ms,l_total_iqr_ms
"(341.999, 6510784.0]",26,147.15728759765625,7.74245,1.0379749999999994,42.70335,7.93665,9.00695,1.5770500000000016,59.43130000000001,10.164899999999996
"(42641221.0, 313639792.0]",25,2928.3800802230835,99.87,209.4427,42.5893,6.189400000000006,128.2169,226.7108,266.2899,452.8332
"(6510784.0, 6814479.0]",25,158.52028369903564,8.5474,1.6242999999999999,43.8875,8.908999999999999,9.3933,0.7995000000000001,61.256600000000006,10.652100000000004
"(6814479.0, 7385791.0]",25,168.96933269500732,8.2808,0.9763000000000002,40.3734,6.515499999999996,9.7018,0.7553000000000001,58.2947,9.093900000000005
"(7385791.0, 42641221.0]",25,481.71115589141846,12.6283,26.406600000000005,42.5909,7.449800000000003,16.0161,32.7646,86.1755,73.90450000000001
