path,kind,size_bytes,payload_bytes_processed,l_io_read_ms,l_io_write_ms,l_kem_ms,l_aes_ms,l_total_ms,kem_ok,aes_ok,kem_ciphertext_bytes,aes_ciphertext_bytes,dataset_id,run_id,file_index
data\user_data\D1\Breaking_Mindset_Barriers.mp4,binaries,42641221,42641221,24.8604,0.0,61.3175,64.1758,150.3537,True,True,1568,42641237,D1,D1_r2,1
data\user_data\D1\IMG_20240505_184443_536.jpg,images,7167627,7167627,4.2754,0.0,42.7296,9.7248,56.7298,True,True,1568,7167643,D1,D1_r2,2
data\user_data\D1\IMG_20240505_184514_417.jpg,images,7006259,7006259,3.6981,0.0,42.7172,10.6201,57.0354,True,True,1568,7006275,D1,D1_r2,3
data\user_data\D1\IMG_20240505_184517_524.jpg,images,6945522,6945522,3.8232,0.0,44.3244,9.6652,57.812799999999996,True,True,1568,6945538,D1,D1_r2,4
data\user_data\D1\IMG_20240505_184520_085.jpg,images,7141616,7141616,3.7847,0.0,43.4521,10.0388,57.275600000000004,True,True,1568,7141632,D1,D1_r2,5
data\user_data\D1\IMG_20240505_185009_663.jpg,images,6424705,6424705,3.4842,0.0,41.2091,8.8346,53.5279,True,True,1568,6424721,D1,D1_r2,6
data\user_data\D1\IMG_20240505_185010_443.jpg,images,6896621,6896621,4.3148,0.0,51.6948,9.4034,65.413,True,True,1568,6896637,D1,D1_r2,7
data\user_data\D1\PXL_20251202_133232266.MP.jpg,images,6488712,6488712,3.537,0.0,37.5282,8.9078,49.973,True,True,1568,6488728,D1,D1_r2,8
data\user_data\D1\PXL_20251202_203139659.TS-000.MP.jpg,images,6309281,6309281,3.3542,0.0,40.4203,8.2002,51.9747,True,True,1568,6309297,D1,D1_r2,9
data\user_data\D1\PXL_20251205_175227735.MP.jpg,images,6876895,6876895,3.5649,0.0,37.3721,10.5241,51.4611,True,True,1568,6876911,D1,D1_r2,10
data\user_data\D1\PXL_20251209_113357421.MP.jpg,images,6814479,6814479,3.4936,0.0,38.4618,8.5025,50.457899999999995,True,True,1568,6814495,D1,D1_r2,11
data\user_data\D1\PXL_20251215_080505281.MP.jpg,images,6307834,6307834,3.2884,0.0,40.5447,9.6113,53.4444,True,True,1568,6307850,D1,D1_r2,12
data\user_data\D1\PXL_20251221_124325528.MP.jpg,images,6476575,6476575,4.1248,0.0,88.5671,11.5496,104.24149999999999,True,True,1568,6476591,D1,D1_r2,13
data\user_data\D1\PXL_20251221_192530116.mp4,binaries,6592986,6592986,3.6275,0.0,41.8188,8.5953,54.0416,True,True,1568,6593002,D1,D1_r2,14
data\user_data\D1\PXL_20251225_090206837.MP.jpg,images,7014741,7014741,3.6764,0.0,40.6077,9.5181,53.8022,True,True,1568,7014757,D1,D1_r2,15
data\user_data\D1\PXL_20251225_090219896.MP.jpg,images,6673723,6673723,3.8029,0.0,37.0585,8.8136,49.675000000000004,True,True,1568,6673739,D1,D1_r2,16
data\user_data\D1\PXL_20251225_090327132.MP.jpg,images,6568694,6568694,3.3669,0.0,40.8841,8.5314,52.782399999999996,True,True,1568,6568710,D1,D1_r2,17
data\user_data\D1\PXL_20251225_201550669.TS-000.MP.jpg,images,6539954,6539954,3.6551,0.0,40.1457,8.6295,52.430299999999995,True,True,1568,6539970,D1,D1_r2,18
data\user_data\D1\PXL_20251226_065017813.MP.jpg,images,6458987,6458987,3.351,0.0,46.4104,8.2151,57.9765,True,True,1568,6459003,D1,D1_r2,19
data\user_data\D1\PXL_20251226_065523407.TS-000.MP.jpg,images,6388874,6388874,3.3627,0.0,38.9908,8.131,50.4845,True,True,1568,6388890,D1,D1_r2,20
data\user_data\D1\PXL_20251226_065644794.MP.jpg,images,6532369,6532369,3.2039,0.0,35.576,8.3505,47.130399999999995,True,True,1568,6532385,D1,D1_r2,21
data\user_data\D1\PXL_20251226_070459627.MP.jpg,images,6619424,6619424,3.2328,0.0,39.4084,8.2891,50.930299999999995,True,True,1568,6619440,D1,D1_r2,22
data\user_data\D1\PXL_20251226_070701079.MP.jpg,images,6449206,6449206,3.3908,0.0,37.1215,8.0628,48.57509999999999,True,True,1568,6449222,D1,D1_r2,23
data\user_data\D1\PXL_20251227_164939125.MP.jpg,images,6511579,6511579,3.2761,0.0,37.9248,8.3598,49.5607,True,True,1568,6511595,D1,D1_r2,24
data\user_data\D1\PXL_20251227_165051684.TS-000.MP.jpg,images,6414965,6414965,3.2277,0.0,37.4958,8.1192,48.8427,True,True,1568,6414981,D1,D1_r2,25
data\user_data\D1\PXL_20260104_142132729.mp4,binaries,8445767,8445767,4.1608,0.0,35.4312,10.876,50.467999999999996,True,True,1568,8445783,D1,D1_r2,26
data\user_data\D1\PXL_20260110_101310876.MP.jpg,images,6436705,6436705,3.1919,0.0,36.1472,7.8054,47.144499999999994,True,True,1568,6436721,D1,D1_r2,27
data\user_data\D1\PXL_20260116_161545226.MP.jpg,images,6998874,6998874,3.427,0.0,35.2671,8.4961,47.1902,True,True,1568,6998890,D1,D1_r2,28
data\user_data\D1\PXL_20260116_161547655.MP.jpg,images,6777435,6777435,3.3458,0.0,34.9443,8.2212,46.51129999999999,True,True,1568,6777451,D1,D1_r2,29
data\user_data\D1\PXL_20260122_172242999.MP.jpg,images,6355824,6355824,3.2027,0.0,34.2711,7.7121,45.1859,True,True,1568,6355840,D1,D1_r2,30
data\user_data\D1\PXL_20260124_115240398.MP.jpg,images,7035404,7035404,3.3982,0.0,36.4634,8.4638,48.3254,True,True,1568,7035420,D1,D1_r2,31
data\user_data\D1\PXL_20260125_130004906.MP.jpg,images,6734287,6734287,3.2718,0.0,34.7401,8.0966,46.1085,True,True,1568,6734303,D1,D1_r2,32
data\user_data\D1\PXL_20260125_130006865.MP.jpg,images,6471256,6471256,3.1221,0.0,35.4486,7.9375,46.5082,True,True,1568,6471272,D1,D1_r2,33
data\user_data\D1\PXL_20260127_165207636.MP.jpg,images,6589296,6589296,3.1938,0.0,36.2368,8.6278,48.058400000000006,True,True,1568,6589312,D1,D1_r2,34
data\user_data\D1\PXL_20260129_110336318.MP.jpg,images,7244552,7244552,3.5593,0.0,35.5742,9.4405,48.574,True,True,1568,7244568,D1,D1_r2,35
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,images,6772587,6772587,3.4462,0.0,38.5451,8.5859,50.5772,True,True,1568,6772603,D1,D1_r2,36
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,images,6335162,6335162,3.2145,0.0,38.0482,7.9136,49.176300000000005,True,True,1568,6335178,D1,D1_r2,37
